iter	Passed	Remaining
0	310	310422
1	413	206535
2	519	172671
3	625	155651
4	739	147242
5	850	140947
6	953	135210
7	1056	131012
8	1160	127750
9	1261	124863
10	1364	122657
11	1464	120553
12	1565	118889
13	1669	117597
14	1773	116457
15	1877	115472
16	1991	115149
17	2097	114431
18	2208	114024
19	2316	113494
20	2421	112891
21	2529	112456
22	2636	112007
23	2745	111656
24	2853	111301
25	2962	110992
26	3071	110681
27	3187	110642
28	3301	110556
29	3411	110319
30	3519	109998
31	3627	109735
32	3733	109397
33	3843	109192
34	3949	108897
35	4058	108683
36	4166	108454
37	4274	108201
38	4388	108136
39	4505	108141
40	4613	107914
41	4723	107738
42	4831	107521
43	4937	107280
44	5048	107133
45	5153	106875
46	5255	106557
47	5359	106301
48	5470	106176
49	5579	106004
50	5698	106040
51	5810	105921
52	5917	105728
53	6026	105570
54	6133	105390
55	6242	105236
56	6350	105067
57	6456	104859
58	6563	104675
59	6670	104503
60	6778	104343
61	6896	104341
62	7012	104295
63	7121	104148
64	7229	103987
65	7336	103820
66	7443	103651
67	7548	103454
68	7657	103323
69	7765	103163
70	7870	102982
71	7978	102835
72	8092	102762
73	8209	102725
74	8317	102587
75	8425	102436
76	8535	102317
77	8641	102150
78	8751	102028
79	8865	101955
80	8983	101921
81	9094	101811
82	9208	101741
83	9329	101731
84	9446	101687
85	9554	101539
86	9660	101379
87	9770	101254
88	9877	101107
89	9986	100976
90	10096	100858
91	10204	100709
92	10315	100602
93	10423	100467
94	10536	100376
95	10660	100386
96	10769	100251
97	10879	100140
98	11003	100142
99	11118	100066
100	11229	99952
101	11338	99822
102	11449	99706
103	11557	99574
104	11667	99453
105	11783	99378
106	11895	99279
107	12003	99142
108	12111	99000
109	12219	98870
110	12327	98733
111	12436	98603
112	12544	98469
113	12653	98338
114	12763	98224
115	12872	98096
116	12991	98043
117	13105	97954
118	13213	97822
119	13321	97692
120	13433	97587
121	13545	97485
122	13658	97387
123	13769	97278
124	13882	97174
125	13992	97060
126	14105	96964
127	14222	96893
128	14339	96818
129	14451	96712
130	14560	96588
131	14668	96457
132	14778	96335
133	14886	96205
134	14998	96102
135	15108	95983
136	15220	95877
137	15330	95758
138	15450	95705
139	15563	95602
140	15674	95492
141	15784	95373
142	15894	95252
143	16008	95163
144	16119	95051
145	16233	94956
146	16348	94865
147	16459	94753
148	16570	94639
149	16690	94577
150	16806	94496
151	16916	94374
152	17026	94256
153	17134	94131
154	17243	94004
155	17353	93885
156	17462	93761
157	17570	93633
158	17677	93501
159	17786	93376
160	17906	93316
161	18019	93209
162	18126	93080
163	18234	92952
164	18342	92823
165	18453	92710
166	18559	92577
167	18671	92466
168	18778	92338
169	18887	92216
170	18999	92106
171	19116	92026
172	19227	91913
173	19338	91803
